experiment,fold,seed,group,snr_db,accuracy_pct_mean,accuracy_pct_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,n_repeats
501,d16_cfg21,2026,fold_test,5.0,76.82314732801889,0.8837690904691845,0.7616755344023335,0.008367830771539417,0.7771632227910964,0.008660555445583225,3
501,d16_cfg21,2026,fold_test,0.0,33.7466784765279,0.2607546757108895,0.2872398275657172,0.003953189877446018,0.21300226453551638,0.005165831523206065,3
501,d16_cfg21,2026,config_2_1_mix,clean,93.86503067484662,0.0,0.9386438919931743,0.0,0.938688795280218,0.0,1
501,d16_cfg21,2026,config_2_1_mix,10.0,92.79709157009772,0.12853565665740357,0.9279686984076965,0.001284617464359553,0.9279967249301128,0.0012890258713687053,3
501,d16_cfg21,2026,config_2_1_mix,5.0,82.29947739150192,0.7597479435264931,0.8212826254710835,0.007930573598273745,0.8200343187192013,0.008081655363936657,3
501,d16_cfg21,2026,config_2_1_mix,0.0,48.8525335151102,0.3261236104159803,0.37011514654452937,0.005959249704609864,0.35056839560455266,0.006274557866509388,3
501,d16_cfg21,2026,config_2_2_mix,clean,98.92952720785013,0.0,0.9880258070029267,0.0,0.9893300519435857,0.0,1
501,d16_cfg21,2026,config_2_2_mix,10.0,95.45049063336307,0.0728364478972086,0.9501885738491508,0.0007740864932805879,0.9550936557075042,0.0007099936315381943,3
501,d16_cfg21,2026,config_2_2_mix,5.0,89.6818316978888,0.29436499960189255,0.8906979686906631,0.0029560545440683685,0.8993495200767648,0.0028304838068458865,3
501,d16_cfg21,2026,config_2_2_mix,0.0,38.80463871543265,0.3174867157904012,0.33818065443897033,0.0045664361521535815,0.2774131443543615,0.00562815360426754,3
501,d16_cfg21,3407,fold_test,clean,79.36226749335695,0.0,0.7856300580955198,0.0,0.8018719354315565,0.0,1
501,d16_cfg21,3407,fold_test,10.0,45.202243873634494,0.11047113630864998,0.44195054860691013,0.001293279887462599,0.41253432308371857,0.0016031344364496028,3
501,d16_cfg21,3407,fold_test,5.0,41.57071154413936,0.11047113630864934,0.39904289212729016,0.0012384236154758422,0.3597765931344294,0.0014468387499592492,3
501,d16_cfg21,3407,fold_test,0.0,40.596397992323595,0.041754164817627,0.38678433033350673,0.0005243760760076984,0.3442308063803506,0.0006611706978917004,3
501,d16_cfg21,3407,config_2_1_mix,clean,83.98091342876619,0.0,0.8387659511777623,0.0,0.8378376950206482,0.0,1
501,d16_cfg21,3407,config_2_1_mix,10.0,57.44149057032492,0.11586047520092572,0.5221030555580373,0.0020926822662201135,0.5107864460515883,0.0022187835121788573,3
501,d16_cfg21,3407,config_2_1_mix,5.0,54.46489434219495,0.09640174249305603,0.4800725577169181,0.0015053246250931879,0.46695763322557987,0.00157924345121658,3
501,d16_cfg21,3407,config_2_1_mix,0.0,53.715064758009554,7.105427357601002e-15,0.4676684183158409,0.0,0.45390307100877153,5.551115123125783e-17,3
501,d16_cfg21,3407,config_2_2_mix,clean,97.68064228367528,0.0,0.9734802990267799,0.0,0.9766221036331776,0.0,1
501,d16_cfg21,3407,config_2_2_mix,10.0,64.82307463574189,0.22251902389378336,0.6470303213386835,0.002189374571351908,0.6539112034003762,0.0022820772192579906,3
501,d16_cfg21,3407,config_2_2_mix,5.0,38.74516800475765,0.11125951194689168,0.3626797784571825,0.0014242543299110679,0.3206482412230904,0.0017520118695077058,3
501,d16_cfg21,3407,config_2_2_mix,0.0,37.91257805530776,0.0,0.35058630815637554,5.551115123125783e-17,0.30504459688504226,0.0,3
501,d16_cfg21,4096,fold_test,clean,90.87688219663418,0.0,0.899669640677077,0.0,0.9115253386510311,0.0,1
501,d16_cfg21,4096,fold_test,10.0,80.8680248007086,0.43990742325808563,0.8006237478630877,0.0042144106640801034,0.8163459808787082,0.004231055855094857,3
501,d16_cfg21,4096,fold_test,5.0,36.84676705048716,0.31523703135610603,0.33074280634208747,0.004411451902353169,0.2684006673656227,0.005653809094246496,3
501,d16_cfg21,4096,fold_test,0.0,31.620903454384415,0.07232033489174064,0.25359240855856496,0.0011307578574928949,0.16876400659450363,0.0014710768954475715,3
501,d16_cfg21,4096,config_2_1_mix,clean,92.97886843899114,0.0,0.9297885538907618,0.0,0.9297954050961177,0.0,1
501,d16_cfg21,4096,config_2_1_mix,10.0,85.25335151102023,0.425091727649842,0.8516849102086145,0.0043578830827534455,0.8508829223816106,0.004420862007375837,3
501,d16_cfg21,4096,config_2_1_mix,5.0,51.37468757100658,0.1400684845028154,0.41409213836600073,0.002486658364185398,0.3967971585591043,0.0026190489578350813,3
501,d16_cfg21,4096,config_2_1_mix,0.0,47.307430129516014,0.05565757197871295,0.3379938542674408,0.0007399006667351136,0.31659027868793777,0.0007689329217631171,3
501,d16_cfg21,4096,config_2_2_mix,clean,98.48349687778769,0.0,0.9831126376523402,0.0,0.984916755451436,0.0,1
